Department,Contact,Email
Electricity,1234567890,electricity@dept.com
Water Supply,1234567891,water@dept.com
Sanitation,1234567892,sanitation@dept.com
Road Maintenance,1234567893,roads@dept.com
Public Lighting,1234567894,lighting@dept.com
Gas Leaks,1234567895,gas@dept.com
Noise,1234567896,noise@dept.com
Waste Management,1234567897,waste@dept.com
Drainage,1234567898,drainage@dept.com
Tree/Landscape,1234567899,trees@dept.com
Public Health,1234567810,health@dept.com
Consumer Affairs,1234567811,consumer@dept.com
Rent/Building,1234567812,rent@dept.com
Fire Safety,1234567813,fire@dept.com
Traffic,1234567814,traffic@dept.com
